number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,101 to 200,"258,923",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,9 to 12,More than 5000,0,General Store,No,4.1
1 to 50,101 to 200,"331,203",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,4.4
1 to 50,301 to 400,"317,697",200001 to 500000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.6
1 to 50,101 to 200,"176,217",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.3
1 to 50,101 to 200,"421,083",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.4
1 to 50,51 to 100,"273,997",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.9
1 to 50,101 to 200,"222,577",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.4
1 to 50,301 to 400,"283,568",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"33,520",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,0,Kiryana,No,3.4
1 to 50,51 to 100,"299,028",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,0,Kiryana,No,4
1 to 50,51 to 100,"67,297",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,101 to 200,"315,385",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,General Store,No,4.4
1 to 50,101 to 200,"334,631",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Super Store,No,4.6
1 to 50,101 to 200,"178,414",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,3.9
1 to 50,51 to 100,"105,275",1 to 200000,3001 to 6000,100K - 300K,Owned,545+,13+,More than 5000,0,Super Store,No,4.4
1 to 50,1 to 50,"23,732",1 to 200000,1 to 3000,300K - 500K,Owned,409 - 544,13+,More than 5000,0,Super Store,No,4.5
1 to 50,101 to 200,"131,189",1 to 200000,3001 to 6000,500K+,Owned,545+,13+,More than 5000,0,General Store,No,5.3
1 to 50,51 to 100,"78,218",1 to 200000,3001 to 6000,100K - 300K,Owned,136 - 271,13+,More than 5000,0,General Store,No,4
1 to 50,1 to 50,"30,979",1 to 200000,1 to 3000,500K+,Owned,545+,13+,More than 5000,0,Bakery,No,4.9
1 to 50,1 to 50,"49,513",1 to 200000,3001 to 6000,500K+,Owned,545+,13+,More than 5000,0,General Store,No,5.1
1 to 50,1 to 50,"3,240",1 to 200000,3001 to 6000,500K+,Rented,272 - 408,13+,More than 5000,10001 to 15000,General Store,No,4.2
1 to 50,1 to 50,"34,664",1 to 200000,3001 to 6000,100K - 300K,Rented,272 - 408,13+,More than 5000,5001 to 10000,General Store,No,3.4
51 to 100,1 to 50,"33,743",1 to 200000,3001 to 6000,500K+,Rented,545+,13+,More than 5000,25000+,Wholesale,No,4.4
1 to 50,1 to 50,"4,240",1 to 200000,3001 to 6000,500K+,Owned,409 - 544,13+,More than 5000,0,General Store,No,5
1 to 50,1 to 50,"21,354",1 to 200000,6001 to 9000,500K+,Rented,545+,13+,2000 - 5000,15001 to 20000,Kiryana,No,4.6
1 to 50,1 to 50,"530,159",500001 to 1000000,20000+,500K+,Rented,409 - 544,13+,More than 5000,25000+,Kiryana,No,5.9
1 to 50,51 to 100,"104,036",1 to 200000,3001 to 6000,100K - 300K,Owned,136 - 271,13+,More than 5000,0,General Store,No,4
1 to 50,51 to 100,"83,504",1 to 200000,3001 to 6000,500K+,Owned,409 - 544,13+,2000 - 5000,0,Kiryana,No,5.1
51 to 100,101 to 200,"530,242",200001 to 500000,6001 to 9000,100K - 300K,Owned,272 - 408,13+,2000 - 5000,0,Super Store,No,4.9
1 to 50,1 to 50,"61,272",1 to 200000,3001 to 6000,500K+,Owned,272 - 408,13+,More than 5000,0,General Store,No,4.9
1 to 50,51 to 100,"105,018",1 to 200000,3001 to 6000,500K+,Owned,409 - 544,Less than 1 Year,More than 5000,0,Super Store,No,4.8
1 to 50,1 to 50,"50,242",1 to 200000,20000+,500K+,Rented,545+,Less than 1 Year,More than 5000,25000+,Super Store,No,5
1 to 50,101 to 200,"274,214",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,5001 to 10000,Kiryana,No,3.1
1 to 50,1 to 50,"38,374",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,1 to 5000,Kiryana,No,3
1 to 50,101 to 200,"369,994",200001 to 500000,3001 to 6000,300K - 500K,Rented,136 - 271,Less than 1 Year,2000 - 5000,5001 to 10000,General Store,No,3.7
1 to 50,1 to 50,"35,507",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,Less than 1 Year,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.7
1 to 50,1 to 50,"27,815",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,15001 to 20000,Bakery,No,2.7
1 to 50,1 to 50,"115,600",1 to 200000,3001 to 6000,100K - 300K,Rented,272 - 408,Less than 1 Year,More than 5000,15001 to 20000,Super Store,No,2.9
1 to 50,1 to 50,"14,365",1 to 200000,3001 to 6000,500K+,Rented,272 - 408,Less than 1 Year,2000 - 5000,5001 to 10000,Kiryana,No,3.9
1 to 50,51 to 100,"135,197",1 to 200000,1 to 3000,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Kiryana,No,4.1
1 to 50,1 to 50,"19,983",1 to 200000,3001 to 6000,500K+,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"4,215",1 to 200000,3001 to 6000,500K+,Rented,272 - 408,Less than 1 Year,More than 5000,25000+,Super Store,No,3.6
1 to 50,1 to 50,"112,556",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,15001 to 20000,General Store,No,2.7
1 to 50,1 to 50,"92,079",1 to 200000,9001 to 12000,500K+,Rented,545+,Less than 1 Year,More than 5000,25000+,Super Store,No,4.4
1 to 50,101 to 200,"232,790",200001 to 500000,3001 to 6000,100K - 300K,Rented,272 - 408,Less than 1 Year,More than 5000,5001 to 10000,General Store,No,3.4
1 to 50,101 to 200,"175,546",1 to 200000,6001 to 9000,Less than 100k,Owned,136 - 271,Less than 1 Year,Less than 2000,0,Kiryana,No,3.6
1 to 50,1 to 50,"60,614",1 to 200000,3001 to 6000,500K+,Rented,545+,Less than 1 Year,More than 5000,25000+,Super Store,No,3.8
1 to 50,51 to 100,"159,525",1 to 200000,3001 to 6000,Less than 100k,Rented,272 - 408,Less than 1 Year,Less than 2000,1 to 5000,Kiryana,No,2.7
1 to 50,51 to 100,"136,206",1 to 200000,3001 to 6000,100K - 300K,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,General Store,No,3.6
1 to 50,51 to 100,"70,182",1 to 200000,3001 to 6000,Less than 100k,Rented,272 - 408,Less than 1 Year,2000 - 5000,5001 to 10000,Super Store,No,2.8
1 to 50,1 to 50,"93,014",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,Less than 1 Year,More than 5000,0,Kiryana,No,3.3
1 to 50,1 to 50,"50,911",1 to 200000,3001 to 6000,500K+,Rented,136 - 271,Less than 1 Year,More than 5000,25000+,Kiryana,No,3.5
1 to 50,1 to 50,"12,951",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,2000 - 5000,10001 to 15000,General Store,No,2.7
1 to 50,1 to 50,"68,259",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,2000 - 5000,1 to 5000,Kiryana,No,2.9
1 to 50,1 to 50,"16,652",1 to 200000,3001 to 6000,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Kiryana,No,4.2
1 to 50,1 to 50,"3,626",1 to 200000,3001 to 6000,100K - 300K,Owned,136 - 271,Less than 1 Year,2000 - 5000,0,General Store,No,3.4
1 to 50,1 to 50,"11,354",1 to 200000,1 to 3000,500K+,Rented,409 - 544,Less than 1 Year,Less than 2000,1 to 5000,Kiryana,No,3.8
1 to 50,1 to 50,"55,146",1 to 200000,3001 to 6000,100K - 300K,Rented,272 - 408,Less than 1 Year,More than 5000,15001 to 20000,General Store,No,2.8
1 to 50,1 to 50,"97,543",1 to 200000,6001 to 9000,300K - 500K,Rented,409 - 544,Less than 1 Year,More than 5000,15001 to 20000,Super Store,No,3.7
1 to 50,1 to 50,"64,051",1 to 200000,6001 to 9000,100K - 300K,Owned,272 - 408,Less than 1 Year,More than 5000,0,Super Store,No,4
1 to 50,1 to 50,"46,459",1 to 200000,3001 to 6000,500K+,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,Kiryana,No,4.5
1 to 50,101 to 200,"384,598",200001 to 500000,3001 to 6000,300K - 500K,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,Kiryana,No,4.4
1 to 50,1 to 50,"14,628",1 to 200000,3001 to 6000,100K - 300K,Owned,272 - 408,Less than 1 Year,More than 5000,0,Kiryana,No,3.7
1 to 50,51 to 100,"131,373",1 to 200000,3001 to 6000,300K - 500K,Rented,409 - 544,Less than 1 Year,2000 - 5000,20000 to 25000,General Store,No,3.2
1 to 50,1 to 50,"68,618",1 to 200000,3001 to 6000,100K - 300K,Owned,136 - 271,Less than 1 Year,More than 5000,0,General Store,No,3.5
1 to 50,1 to 50,"83,890",1 to 200000,3001 to 6000,500K+,Owned,272 - 408,Less than 1 Year,More than 5000,0,General Store,No,4.5
1 to 50,1 to 50,"14,561",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,Less than 1 Year,More than 5000,0,General Store,No,3.2
1 to 50,1 to 50,"6,696",1 to 200000,3001 to 6000,500K+,Rented,409 - 544,Less than 1 Year,2000 - 5000,5001 to 10000,Kiryana,No,4
51 to 100,1 to 50,"56,910",1 to 200000,9001 to 12000,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Kiryana,No,5
1 to 50,1 to 50,"10,515",1 to 200000,9001 to 12000,100K - 300K,Owned,272 - 408,Less than 1 Year,More than 5000,0,General Store,No,4.2
1 to 50,51 to 100,"84,796",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,10001 to 15000,Super Store,No,3
1 to 50,51 to 100,"112,829",1 to 200000,3001 to 6000,100K - 300K,Rented,272 - 408,Less than 1 Year,More than 5000,5001 to 10000,General Store,No,3.1
51 to 100,51 to 100,"149,234",1 to 200000,6001 to 9000,100K - 300K,Owned,272 - 408,Less than 1 Year,More than 5000,0,Kiryana,No,4.2
1 to 50,51 to 100,"382,391",200001 to 500000,9001 to 12000,100K - 300K,Owned,409 - 544,Less than 1 Year,2000 - 5000,0,Kiryana,No,4.6
51 to 100,201 to 300,"615,221",500001 to 1000000,6001 to 9000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,General Store,No,4.3
1 to 50,51 to 100,"155,481",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.2
1 to 50,1 to 50,"20,599",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3.5
1 to 50,1 to 50,"35,694",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
101 to 200,301 to 400,"723,688",500001 to 1000000,6001 to 9000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,4.5
1 to 50,51 to 100,"109,535",1 to 200000,3001 to 6000,100k - 300k,Owned,,1 to 3,2000 - 5000,0,General Store,No,3.4
51 to 100,101 to 200,"371,132",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,General Store,No,3.5
1 to 50,51 to 100,"83,217",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,25000+,Bakery,No,2.7
1 to 50,1 to 50,"12,440",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,25000+,Bakery,No,2.6
51 to 100,51 to 100,"177,204",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,1 to 3,More than 5000,0,General Store,No,4.1
1 to 50,401 to 500,"674,509",500001 to 1000000,3001 to 6000,100k - 300k,Rented,409 - 544,1 to 3,More than 5000,10001 to 15000,Kiryana,No,3.8
1 to 50,1 to 50,"7,900",1 to 200000,1 to 3000, , , , , , , ,No,0.7
1 to 50,101 to 200,"350,869",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,Kiryana,No,4.1
1 to 50,1 to 50,"159,517",1 to 200000,6001 to 9000,100k - 300k,Rented,409 - 544,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.6
1 to 50,51 to 100,"98,206",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3
1 to 50,501 to 1000,"593,202",500001 to 1000000,6001 to 9000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,General Store,No,4
1 to 50,1 to 50,"27,270",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,3.6
1 to 50,101 to 200,"60,098",1 to 200000,1 to 3000,100k - 300k,Rented,272 - 408,1 to 3,2000 - 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,3.1
1 to 50,101 to 200,"248,549",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,3.6
51 to 100,51 to 100,"64,200",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,2000 - 5000,0,General Store,No,3.4
1 to 50,101 to 200,"117,075",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.8
1 to 50,1 to 50,"8,285",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,3.4
1 to 50,51 to 100,"150,622",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.7
51 to 100,1 to 50,"81,028",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,General Store,No,3.1
1 to 50,1 to 50,"28,540",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,4.2
51 to 100,301 to 400,"289,744",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.8
1 to 50,1 to 50,"11,839",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,1 to 50,"5,694",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.2
1 to 50,1 to 50,"53,674",1 to 200000,12001 to 20000, , , , , , , ,No,1.7
1 to 50,101 to 200,"234,678",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,2000 - 5000,0,General Store,No,3.5
1 to 50,1 to 50,"3,110",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,1 to 3,More than 5000,0,General Store,No,3.9
1 to 50,101 to 200,"303,124",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,4
1 to 50,1 to 50,"9,900",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,1 to 50,"30,339",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.9
1 to 50,1 to 50,"13,845",1 to 200000,1 to 3000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.8
1 to 50,1 to 50,"27,013",1 to 200000,1 to 3000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,10001 to 15000,Wholesale,No,3
1 to 50,101 to 200,"214,070",200001 to 500000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,2000 - 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.5
301 to 400,1 to 50,"3,180",1 to 200000,3001 to 6000, , , , , , , ,No,1.5
1 to 50,51 to 100,"340,886",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Bakery,No,4.1
51 to 100,1 to 50,"20,917",1 to 200000,6001 to 9000,Less than 100k,Rented,409 - 544,1 to 3,2000 - 5000,5001 to 10000,General Store,No,3.3
1 to 50,51 to 100,"41,893",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,2.7
1 to 50,51 to 100,"144,329",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"201,403",200001 to 500000,12001 to 20000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,1 to 5000,General Store,No,4.3
51 to 100,501 to 1000,"2,722,168",2000001 to 3000000,6001 to 9000,100k - 300k ,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,General Store,No,4.3
1 to 50,101 to 200,"245,755",200001 to 500000,3001 to 6000,100k - 300k,Owned,409 - 544,1 to 3,2000 - 5000,0,Kiryana,No,4.2
1 to 50,101 to 200,"245,041",200001 to 500000,3001 to 6000,Less than 100k,Rented,136 - 271,1 to 3,Less than 2000,25000+,General Store,No,2.6
1 to 50,1 to 50,"52,858",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,General Store,No,2.8
51 to 100,1 to 50,"11,265",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.1
1 to 50,1 to 50,"6,293",1 to 200000,1 to 3000,100k - 300k,Owned,545+,1 to 3,More than 5000,0,Super Store,No,3.8
1 to 50,301 to 400,"509,030",200001 to 500000,6001 to 9000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.9
1 to 50,1 to 50,"9,708",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,101 to 200,"122,798",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Super Store,No,3.8
1 to 50,101 to 200,"283,017",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,3.6
1 to 50,201 to 300,"339,061",200001 to 500000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,General Store,No,3.2
101 to 200,1 to 50,"35,522",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,20000 to 25000,Super Store,No,3.1
1 to 50,1 to 50,"68,656",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.8
1 to 50,1 to 50,"11,410",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"24,127",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.5
1 to 50,1 to 50,"160,627",1 to 200000,12001 to 20000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,General Store,No,4.6
51 to 100,1 to 50,"20,037",1 to 200000,1 to 3000,Less than 100k,Rented,136 - 271,1 to 3,Less than 2000,5001 to 10000,Kiryana,No,2.6
1 to 50,501 to 1000,"2,009,436",1000001 to 2000000,6001 to 9000,100k - 300k ,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,4.3
1 to 50,1 to 50,"3,345",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,More than 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,2.7
1 to 50,101 to 200,"213,146",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,1 to 3,2000 - 5000,0,Kiryana,No,3.4
1 to 50,1 to 50,"26,023",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.4
1 to 50,51 to 100,"91,373",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,401 to 500,"946,764",500001 to 1000000,6001 to 9000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,10001 to 15000,Kiryana,No,3.8
1 to 50,101 to 200,"186,762",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,1 to 5000,Kiryana,No,3.3
1 to 50,51 to 100,"142,198",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Bakery,No,3.7
1 to 50,1 to 50,"22,599",1 to 200000,1 to 3000, , , , , , , ,No,0.7
1 to 50,101 to 200,"444,366",200001 to 500000,9001 to 12000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Bakery,No,4.6
1 to 50,101 to 200,"184,784",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,More than 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,2.9
51 to 100,51 to 100,"182,530",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.4
51 to 100,1 to 50,"9,545",1 to 200000,9001 to 12000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.7
51 to 100,101 to 200,"286,666",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.5
201 to 300,1 to 50,"14,484",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,1 to 5000,Kiryana,No,3.6
1 to 50,51 to 100,"72,467",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
51 to 100,101 to 200,"113,232",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,Kiryana,No,3.3
1 to 50,101 to 200,"403,481",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Kiryana,No,4
1 to 50,101 to 200,"204,022",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,3.1
1 to 50,101 to 200,"305,004",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,3.9
1 to 50,501 to 1000,"2,654,522",2000001 to 3000000,9001 to 12000,Less than 100k,Rented,409 - 544,1 to 3,More than 5000,15001 to 20000,General Store,No,4.9
51 to 100,1 to 50,"3,007",1 to 200000,1 to 3000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,General Store,No,2.5
1 to 50,301 to 400,"336,930",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,4.1
1 to 50,51 to 100,"43,402",1 to 200000,1 to 3000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,5001 to 10000,General Store,No,2.4
1 to 50,1 to 50,"37,509",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,3.6
1 to 50,1 to 50,"13,271",1 to 200000,1 to 3000, , , , , , , ,No,0.7
1 to 50,1 to 50,"4,493",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,2.6
51 to 100,101 to 200,"249,594",200001 to 500000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,15001 to 20000,Super Store,No,3.5
101 to 200,101 to 200,"164,099",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,4.1
1 to 50,1 to 50,"42,103",1 to 200000,6001 to 9000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,3.2
1 to 50,51 to 100,"129,449",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,101 to 200,"123,194",1 to 200000,6001 to 9000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,20000 to 25000,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,1 to 50,"8,579",1 to 200000,1 to 3000,Less than 100k,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,3.1
1 to 50,301 to 400,"208,307",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.4
1 to 50,301 to 400,"828,134",500001 to 1000000,6001 to 9000,100k - 300k,Rented,409 - 544,1 to 3,More than 5000,10001 to 15000,Super Store,No,4.5
1 to 50,51 to 100,"37,942",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,Kiryana,No,3.1
1 to 50,1 to 50,"15,656",1 to 200000,1 to 3000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,10001 to 15000,Kiryana,No,2.9
1 to 50,1 to 50,"3,041",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,2.9
1 to 50,101 to 200,"183,317",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"64,308",1 to 200000,6001 to 9000,100k - 300k,Rented,409 - 544,Less than 1 Year,More than 5000,10001 to 15000,General Store,No,3.3
1 to 50,1 to 50,"43,841",1 to 200000,6001 to 9000,500K+,Owned,136 - 271,Less than 1 Year,2000 - 5000,0,General Store,No,4.6
51 to 100,51 to 100,"29,682",1 to 200000,3001 to 6000,300K - 500K,Rented,409 - 544,Less than 1 Year,2000 - 5000,10001 to 15000,Bakery,No,3.6
1 to 50,1 to 50,"19,965",1 to 200000,3001 to 6000,500K+,Owned,136 - 271,Less than 1 Year,More than 5000,0,General Store,No,4.4
1 to 50,51 to 100,"36,899",1 to 200000,3001 to 6000,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Kiryana,No,4.3
1 to 50,1 to 50,"120,754",1 to 200000,6001 to 9000,100K - 300K,Owned,136 - 271,Less than 1 Year,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.9
1 to 50,51 to 100,"149,099",1 to 200000,6001 to 9000,100K - 300K,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,Kiryana,No,4
