number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
51 to 100,51 to 100,"238,419",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Super Store,No,4.6
51 to 100,1 to 50,"40,275",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,10001 to 15000,Kiryana,No,3.3
101 to 200,1 to 50,"27,873",1 to 200000,3001 to 6000, , , , , , , ,No,1.2
1 to 50,51 to 100,"203,937",1 to 200000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Super Store,No,4.3
1 to 50,1 to 50,"7,668",1 to 200000,1 to 3000, , , , , , , ,No,0.7
51 to 100,101 to 200,"310,706",200001 to 500000,3001 to 6000,100k - 300k ,Rented,136 - 271,4 to 8,2000 - 5000,10001 to 15000,Kiryana,No,2.9
1 to 50,101 to 200,"209,217",200001 to 500000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,General Store,No,3.4
51 to 100,101 to 200,"354,394",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.9
1 to 50,501 to 1000,"718,398",500001 to 1000000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.3
51 to 100,51 to 100,"284,565",200001 to 500000,9001 to 12000,Less than 100k,Owned,272 - 408,4 to 8,2000 - 5000,0,Super Store,No,4.6
1 to 50,1 to 50,"4,696",1 to 200000,1 to 3000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.7
1 to 50,101 to 200,"288,772",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,General Store,No,3.5
1 to 50,51 to 100,"138,855",1 to 200000,6001 to 9000,100k - 300k,Owned,409 - 544,4 to 8,More than 5000,0,Kiryana,No,4.3
51 to 100,201 to 300,"432,647",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,2000 - 5000,0,Kiryana,No,4.5
1 to 50,101 to 200,"124,683",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,4.2
1 to 50,101 to 200,"266,668",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,2000 - 5000,0,General Store,No,4.3
1 to 50,51 to 100,"50,622",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,1 to 5000,Kiryana,No,3.1
1 to 50,1 to 50,"169,177",1 to 200000,3001 to 6000,100k - 300k,Rented,545+,4 to 8,More than 5000,15001 to 20000,Kiryana,No,3.3
51 to 100,1 to 50,"174,812",1 to 200000,6001 to 9000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,1 to 5000,Kiryana,No,3.6
1 to 50,101 to 200,"394,137",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.2
51 to 100,1 to 50,"130,587",1 to 200000,12001 to 20000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,General Store,No,5.1
1 to 50,1 to 50,"52,057",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,2000 - 5000,15001 to 20000,PanShop / Juice Corner / Canteen,No,2.9
1 to 50,1 to 50,"31,080",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,2000 - 5000,0,Super Store,No,4
1 to 50,1 to 50,"26,898",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,4 to 8,More than 5000,15001 to 20000,General Store,No,2.6
51 to 100,301 to 400,"446,092",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.5
51 to 100,1 to 50,"134,978",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,4.2
